Normalized_URL,Go_ID,Go_Name,Go_Homepage,Go_Repo,Maven_ID,Maven_Name,Maven_Homepage,Maven_Repo,NPM_ID,NPM_Name,NPM_Homepage,NPM_Repo,PyPI_ID,PyPI_Name,PyPI_Homepage,PyPI_Repo,Ruby_ID,Ruby_Name,Ruby_Homepage,Ruby_Repo
github.com/protocolbuffers/protobuf,493317,github.com/protocolbuffers/protobuf/examples/go,https://github.com/protocolbuffers/protobuf,https://github.com/protocolbuffers/protobuf,612062,com.google.protobuf:protobuf-bom,https://developers.google.com/protocol-buffers/,https://github.com/protocolbuffers/protobuf,2537207,minified-google-protobuf,,https://github.com/protocolbuffers/protobuf/tree/master/js,480184,protoc-exe,https://github.com/fleshgrinder/python-protoc-exe,https://github.com/protocolbuffers/protobuf,82408,jitera-google-protobuf,https://rubygems.org/gems/jitera-google-protobuf,https://github.com/protocolbuffers/protobuf/tree/v3.21.12.pre.beta.3/ruby
github.com/cucumber/gherkin,2194029,github.com/cucumber/gherkin/go/v37,https://github.com/cucumber/gherkin,https://github.com/cucumber/gherkin,440393,info.cukes:bool,https://github.com/cucumber/bool,git://github.com/cucumber/gherkin.git,881943,@proxym-france/cucumber-gherkin,https://github.com/cucumber/gherkin,git+https://github.com/cucumber/gherkin.git,239853,gherkin-official,https://pypi.org/project/gherkin-official/,https://github.com/cucumber/gherkin.git,34421,cucumber-gherkin,https://github.com/cucumber/gherkin,https://github.com/cucumber/gherkin/blob/main/ruby
github.com/seleniumhq/selenium,252949,github.com/seleniumhq/selenium,https://github.com/seleniumhq/selenium,https://github.com/seleniumhq/selenium,90797,org.seleniumhq.selenium:grid,http://www.seleniumhq.org/,https://github.com/SeleniumHQ/selenium/,3167788,selenium-webdriver-sway-fork,https://github.com/SeleniumHQ/selenium,git+https://github.com/SeleniumHQ/selenium.git,581966,selenium-duration-50ms,https://github.com/SeleniumHQ/selenium/,https://github.com/SeleniumHQ/selenium/,149616,selenium-webdriver,https://selenium.dev,https://github.com/SeleniumHQ/selenium/tree/trunk/rb
github.com/zeroc-ice/ice,384681,github.com/zeroc-ice/ice,https://github.com/zeroc-ice/ice,https://github.com/zeroc-ice/ice,490015,com.zeroc:freeze,https://zeroc.com,git://github.com/zeroc-ice/ice.git,2196047,ice,https://zeroc.com,git+https://github.com/zeroc-ice/ice.git,721431,zeroc-icehashpassword,https://github.com/zeroc-ice/ice,https://github.com/zeroc-ice/ice,188334,zeroc-ice-x86-mingw,https://zeroc.com,https://github.com/zeroc-ice/ice
github.com/skenvy/collatz,653015,github.com/skenvy/collatz/go,https://github.com/skenvy/collatz,https://github.com/skenvy/collatz,358475,io.github.skenvy:collatz,https://github.com/Skenvy/Collatz/tree/main/java,http://github.com/Skenvy/Collatz/tree/main,1007438,@skenvy/collatz,https://github.com/Skenvy/Collatz/tree/main/javascript,git+https://github.com/Skenvy/Collatz.git,103544,collatz,https://github.com/Skenvy/Collatz,https://github.com/Skenvy/Collatz,29792,collatz,https://skenvy.github.io/Collatz/ruby/,https://github.com/Skenvy/Collatz/tree/main/ruby
github.com/cucumber/ci-environment,668373,github.com/cucumber/ci-environment,https://github.com/cucumber/ci-environment,https://github.com/cucumber/ci-environment,428530,io.cucumber:ci-environment,https://github.com/cucumber/ci-environment,git://github.com/cucumber/ci-environment.git,258449,@cucumber/ci-environment,https://github.com/cucumber/ci-environment,git://github.com/cucumber/ci-environment.git,121937,cuke-ci-environment,https://pypi.org/project/cuke-ci-environment/,https://github.com/cucumber/ci-environment,34397,cucumber-ci-environment,https://github.com/cucumber/ci-environment,https://github.com/cucumber/ci-environment/tree/main/ruby
github.com/metlo-labs/metlo,714254,github.com/metlo-labs/metlo/ingestors/golang/gorilla,https://github.com/metlo-labs/metlo,https://github.com/metlo-labs/metlo,570825,com.metlo:spring,https://www.github.com/metlo-labs/metlo,http://github.com/metlo-labs/metlo,2523412,metlo,http://www.metlo.com,git+https://github.com/metlo-labs/metlo.git,356055,metlo,https://www.metlo.com,https://github.com/metlo-labs/metlo/,99454,metlo-test,https://www.metlo.com,https://www.github.com/metlo-labs/metlo
github.com/cucumber/tag-expressions,2209670,github.com/cucumber/tag-expressions/go/v8,https://github.com/cucumber/tag-expressions,https://github.com/cucumber/tag-expressions,428459,io.cucumber:tag-expressions,https://github.com/cucumber/tag-expressions,git://github.com/cucumber/tag-expressions.git,258480,@cucumber/tag-expressions,https://github.com/cucumber/tag-expressions,git://github.com/cucumber/tag-expressions.git,121739,cucumber-tag-expressions,https://pypi.org/project/cucumber-tag-expressions/,https://github.com/cucumber/tag-expressions,34495,cucumber-tag-expressions,https://cucumber.io/docs/cucumber/api/#tag-expressions,https://github.com/cucumber/tag-expressions/tree/main/ruby
github.com/std-uritemplate/std-uritemplate,1757499,github.com/std-uritemplate/std-uritemplate/go/v2,https://github.com/std-uritemplate/std-uritemplate,https://github.com/std-uritemplate/std-uritemplate,356835,io.github.std-uritemplate:std-uritemplate,https://std-uritemplate.github.io/,https://github.com/std-uritemplate/std-uritemplate.git,1038606,@std-uritemplate/std-uritemplate,https://github.com/std-uritemplate/std-uritemplate#readme,git+https://github.com/std-uritemplate/std-uritemplate.git,619391,std-uritemplate,https://github.com/std-uritemplate/std-uritemplate,https://github.com/std-uritemplate/std-uritemplate,162152,stduritemplate,https://github.com/std-uritemplate/std-uritemplate,https://github.com/std-uritemplate/std-uritemplate
github.com/paulfitz/daff,977693,github.com/paulfitz/daff,https://github.com/paulfitz/daff,https://github.com/paulfitz/daff,369015,io.github.paulfitz:daff,https://paulfitz.github.io/daff/,https://github.com/paulfitz/daff.git,1699593,daff,https://github.com/paulfitz/daff#readme,git://github.com/paulfitz/daff.git,125919,daff,https://github.com/paulfitz/daff,https://github.com/paulfitz/daff,35375,daff,https://github.com/paulfitz/daff,https://github.com/paulfitz/daff
github.com/coolbitx-technology/sygna-bridge-ivms-utils,1596582,github.com/coolbitx-technology/sygna-bridge-ivms-utils,https://github.com/coolbitx-technology/sygna-bridge-ivms-utils,https://github.com/coolbitx-technology/sygna-bridge-ivms-utils,304936,io.sygna:sygna-bridge-ivms-util-j,https://github.com/openapitools/openapi-generator,https://github.com/CoolBitX-Technology/sygna-bridge-ivms-utils/tree/master/java,1062955,@sygna/bridge-ivms-util,https://github.com/CoolBitX-Technology/sygna-bridge-ivms-utils#readme,git+https://github.com/CoolBitX-Technology/sygna-bridge-ivms-utils.git,630027,sygna-bridge-ivms-util,https://github.com/CoolBitX-Technology/sygna-bridge-ivms-utils,https://github.com/CoolBitX-Technology/sygna-bridge-ivms-utils,165292,sygna-bridge-ivms-util,https://github.com/CoolBitX-Technology/sygna-bridge-ivms-utils/tree/master/ruby,https://github.com/CoolBitX-Technology/sygna-bridge-ivms-utils/tree/master/ruby
